# PLATEIFU     MANGAID     Z           NSA_Z       NSA_ZDIST   NSA_ELPETRO_BA   NSA_ELPETRO_PHI   NSA_ELPETRO_TH50_R   NSA_SERSIC_BA   NSA_SERSIC_PHI   NSA_SERSIC_TH50   NSA_SERSIC_N  
  8715-3704    1-351815    0.0954101   0.0954101   0.0957316   0.863913         98.6535           2.71896              0.686993        96.7889          1.99894           6.0           
  8715-3703    1-379124    0.0545403   0.0545403   0.054884    0.812346         83.2462           2.94652              0.715557        80.4328          4.07167           4.06068       
  8715-3702    1-604907    0.0543641   0.0543641   0.0546972   0.881812         158.262           2.50961              0.820539        178.81           2.84422           6.0           
  8715-6104    1-351919    0.0175332   0.0175332   0.0181109   0.840896         39.5169           13.3858              0.784405        36.9319          23.1675           5.24203       
  8715-12702   1-548172    0.129513    0.129513    0.129862    0.636688         152.076           16.3937              0.907442        133.951          6.35789           6.0           
  8715-3701    1-378770    0.133623    0.133623    0.133951    0.934358         15.375            4.9714               0.369539        9.20532          8.87693           6.0           
  8715-6103    1-379045    0.0224141   0.0224141   0.0227698   0.319836         134.341           6.28186              0.195227        134.232          7.20807           1.49904       
  8715-9102    1-378749    0.02236     0.02236     0.0226884   0.630227         0.197784          6.93027              0.555618        0.915924         7.38458           0.946348      
  8715-12703   1-378826    0.0984371   0.0984371   0.0987807   0.725291         94.078            10.8155              0.927413        73.0773          6.63948           6.0           
  8715-6102    1-378753    0.0225905   0.0225905   0.022917    0.294398         145.184           5.47                 0.177418        145.414          5.66971           1.05385       
  8715-1901    1-378728    0.0235647   0.0235647   0.0238974   0.530181         17.6223           6.81628              0.44005         17.7764          7.15424           0.660788      
  8715-12704   1-351792    0.0226179   0.0226179   0.0229432   0.732652         78.1143           6.87215              0.6329          73.3683          8.06836           1.93232       
  8715-6101    1-379030    0.0543574   0.0543574   0.0547021   0.825212         78.5253           3.19391              0.749791        67.0251          4.85526           6.0           
  8715-9101    1-379087    0.0533759   0.0533759   0.0537234   0.673823         71.6874           4.76839              0.50331         68.9104          7.83114           4.44905       
  8715-12705   1-378795    0.0967216   0.0967216   0.0970494   0.551686         18.2474           5.02372              0.408427        17.826           6.21598           2.37948       
  8715-1902    1-378844    0.0220459   0.0220459   0.0223776   0.887294         73.3023           3.63662              0.84506         68.5866          3.60059           1.57301       
  8715-12701   1-548157    0.0241989   0.0241989   0.0245305   0.713878         162.621           11.5232              0.65585         161.259          24.9188           4.91172       
  8455-3704    1-274545    0.0231081   0.0231081   0.0231421   0.715172         130.717           4.30871              0.547756        128.17           4.44332           1.36103       
  8455-12703   1-255090    0.092116    0.092116    0.0921707   0.679764         9.40408           8.88453              0.577492        12.4102          18.0253           4.72744       
  8455-3703    1-254708    0.0430115   0.0430115   0.043059    0.73324          156.525           2.65607              0.609233        162.363          3.10811           3.81732       
  8455-9102    1-255236    0.0423293   0.0423293   0.0423909   0.900753         34.7638           4.24271              0.837189        32.5341          4.99398           2.1463        
  8455-12701   1-254342    0.0292303   0.0292303   0.0292773   0.930289         141.972           5.81167              0.94646         1.56989          5.9961            1.40458       
  8455-12704   1-254691    0.09047     0.09047     0.0905235   0.882656         40.2813           6.23393              0.822419        34.2088          12.2762           6.0           
  8455-9101    1-275176    0.0300443   0.0300443   0.0300737   0.512692         152.625           8.08477              0.343579        148.461          9.98907           1.88795       
  8455-12702   1-254146    0.0675268   0.0675268   0.0675665   0.441697         38.7745           6.94923              0.329776        39.4465          7.74261           1.14955       
  8455-1902    1-274440    0.0261512   0.0261512   0.0261748   0.566776         172.296           2.1452               0.357467        172.619          2.03505           1.29746       
  8455-1901    1-254747    0.0372224   0.0372224   0.0372724   0.713458         109.974           1.72157              0.5131          105.56           1.7923            4.86444       
  8455-6103    1-254717    0.11615     0.11615     0.116191    0.794829         169.437           3.26568              0.52387         175.15           5.45887           6.0           
  8455-3702    1-254694    0.0636164   0.0636164   0.0636495   0.951865         112.62            6.34863              0.919321        98.1811          9.23794           3.726         
  8455-6102    1-254645    0.0439226   0.0439226   0.0439635   0.385066         119.004           3.9302               0.15            119.291          3.8388            2.07671       
  8455-6104    1-275185    0.079275    0.079275    0.0793132   0.758933         39.5558           3.84031              0.460592        49.002           4.20244           6.0           
  8455-3701    1-274519    0.0292897   0.0292897   0.0293203   0.752186         175.702           3.9388               0.662618        3.13007          3.76698           1.78091       
  8455-12705   1-274526    0.0442662   0.0442662   0.0442977   0.221921         71.5225           9.21905              0.15            70.7733          9.29581           0.5           
  8455-6101    1-274506    0.0232593   0.0232593   0.0232877   0.756477         71.8902           6.14683              0.709815        72.6183          6.05488           0.829191      
  8568-6104    1-394404    0.0455334   0.0455334   0.0455148   0.699502         60.2635           6.30375              0.581227        59.8652          10.7389           4.12623       
  8568-6102    1-392988    0.0565018   0.0565018   0.0564887   0.814378         139.178           3.42388              0.671974        77.3615          2.55316           6.0           
  8568-6101    1-547744    0.0538453   0.0538453   0.053812    0.561141         142.037           4.06406              0.439249        142.104          4.5714            2.08264       
  8568-6103    1-274323    0.05503     0.0550323   0.0550374   0.323013         161.248           8.47389              0.243392        161.582          9.24832           0.931163      
  8568-1901    1-273933    0.0441818   0.0441818   0.0441679   0.824894         150.725           3.62421              0.732432        152.218          6.28996           6.0           
  8568-9101    1-392067    0.0259165   0.0259165   0.0258905   0.694728         176.914           7.80782              0.671277        171.585          16.872            5.6685        
  8568-1902    1-273861    0.0475775   0.0475775   0.0475694   0.873751         99.1867           2.12137              0.746904        97.0002          2.09868           3.62743       
  8568-3701    1-392010    0.0525294   0.0525294   0.0524989   0.769014         39.3767           2.55483              0.451571        39.006           3.24788           4.73671       
  8568-3703    1-274368    0.0226165   0.0226165   0.0226099   0.683376         124.774           4.39556              0.556229        123.894          5.87291           4.0921        
  8568-3702    1-392862    0.0531446   0.0531446   0.0531151   0.712742         40.8579           2.49351              0.489988        41.5356          3.08241           4.71765       
  8568-12705   1-392972    0.0219018   0.0219018   0.0218903   0.724253         75.0616           9.71278              0.644004        74.8063          10.4727           1.03593       
  8568-12701   1-392976    0.0431626   0.0431626   0.043152    0.748054         120.832           2.17731              0.580357        123.569          1.86941           2.29947       
  8568-12704   1-608586    0.0529871   0.0529871   0.0529958   0.776722         116.258           5.36551              0.723823        116.311          8.96888           4.9989        
  8568-9102    1-274226    0.0980773   0.0980773   0.098073    0.952867         48.394            4.95518              0.820065        59.3304          7.12861           6.0           
  8568-3704    1-392956    0.0505406   0.0505406   0.0505184   0.915379         28.4391           2.74129              0.862633        31.4348          2.8447            1.93959       
  8568-12702   1-274366    0.0213062   0.0213062   0.0213315   0.887486         157.371           9.71292              0.852154        154.818          10.5499           1.46864       
  8568-12703   1-274244    0.0528405   0.0528405   0.0528421   0.91315          47.9439           6.5311               0.876681        57.6177          7.18203           1.5175        
  8462-9101    1-301241    0.0224995   0.0224995   0.0224866   0.437536         49.7313           7.62602              0.471532        55.739           7.77479           0.5           
  8462-1902    1-301579    0.0231709   0.0231709   0.0231618   0.756895         121.115           0.833238             0.740356        10.2889          18.22             6.0           
  8462-3703    1-232643    0.0223405   0.0223405   0.0223472   0.924774         96.668            5.10114              0.905294        94.3752          5.17091           1.26996       
  8462-3704    1-232512    0.0398436   0.0398436   0.0398597   0.927034         142.233           2.28517              0.894713        136.437          2.13615           1.6065        
  8462-12701   1-301244    0.0224688   0.0224688   0.0224515   0.485414         53.9476           9.28393              0.393097        53.2069          10.2805           1.04942       
  8462-9102    1-301260    0.0200675   0.0200675   0.0201107   0.324241         143.134           8.31255              0.215971        143.422          8.84748           1.01371       
  8462-6101    1-301537    0.0217874   0.0217874   0.0217742   0.985591         56.7302           5.82765              0.899315        54.657           6.89929           1.96691       
  8462-3701    1-232397    0.0529626   0.0529626   0.0529679   0.860438         122.329           3.1804               0.806433        120.791          4.36748           6.0           
  8462-1901    1-301331    0.023425    0.023425    0.0234118   0.773565         48.9829           2.81758              0.521486        46.8905          3.31836           3.6922        
  8462-3702    1-232720    0.122993    0.122993    0.12302     0.861629         123.259           4.1559               0.810093        121.957          6.54227           6.0           
  8462-6104    1-232621    0.0225101   0.0225101   0.0225062   0.905089         17.4124           6.2804               0.901885        14.7003          6.13196           0.78237       
  8462-12703   1-232526    0.0456281   0.0456281   0.0456524   0.563779         26.4031           8.02429              0.495973        26.127           9.80242           1.45201       
  8462-12705   1-606005    0.0219665   0.0219665   0.021956    0.478093         165.523           10.1162              0.398165        164.44           12.1577           1.87665       
  8462-12702   1-232333    0.0147142   0.0147142   0.0157193   0.76449          153.666           12.7829              0.746793        153.437          13.5215           0.781964      
  8462-6102    1-232516    0.0970914   0.0970914   0.0970986   0.894948         79.326            3.21179              0.856638        58.3918          4.83675           5.95769       
  8462-12704   1-232722    0.0201801   0.0201801   0.0202793   0.611703         3.28894           10.6522              0.496316        5.82739          11.8964           1.17833       
  8462-6103    1-232536    0.0196764   0.0196764   0.0197338   0.574833         31.4705           5.34091              0.315754        33.1479          5.28298           5.5117        
  8255-12703   1-255916    0.0508501   0.0508501   0.0509434   0.413087         107.015           7.94228              0.277916        106.303          11.0926           2.82955       
  8255-12702   1-255939    0.0245465   0.0245465   0.0246337   0.945153         111.229           9.97498              0.894803        99.9529          10.5272           0.656399      
  8255-12701   1-276574    0.0245428   0.0245428   0.0246561   0.268129         79.6226           13.8954              0.173157        79.3652          17.8897           1.85084       
  8255-1902    1-256210    0.024769    0.024769    0.0248732   0.879085         79.9031           3.16289              0.792031        76.8639          2.88902           2.55478       
  8255-12704   1-256150    0.0251893   0.0251893   0.0252964   0.326098         40.1954           8.63741              0.209206        40.3109          9.52568           0.729194      
  8255-1901    1-256155    0.0364872   0.0364872   0.0365914   0.573199         179.662           3.5321               0.302693        178.445          4.84501           6.0           
  8255-9101    1-255938    0.047759    0.047759    0.0478502   0.440593         68.5236           7.03383              0.510033        91.591           10.6712           5.60949       
  8255-3702    1-277277    0.0212133   0.0212133   0.0213315   0.94484          56.3587           4.67339              0.862233        82.9899          4.72339           0.683284      
  8255-12705   1-255958    0.0567523   0.0567523   0.0568382   0.748839         59.875            6.96904              0.693025        59.7219          9.63393           2.76642       
  8255-3703    1-277246    0.0219916   0.0219916   0.022115    0.883266         110.087           4.93548              0.871235        115.958          6.61977           2.43722       
  8255-6102    1-256203    0.025576    0.025576    0.0256791   0.823123         52.562            5.30953              0.758224        57.5152          6.35836           3.08574       
  8255-3701    1-277328    0.0373575   0.0373575   0.0374714   0.737422         156.23            2.65961              0.610162        158.54           2.74018           2.2038        
  8255-6103    1-255963    0.0898702   0.0898702   0.0899709   0.836939         127.327           3.79535              0.697569        125.533          5.23495           6.0           
  8255-6104    1-256234    0.0755929   0.0755929   0.0756893   0.974665         174.56            5.59819              0.943391        131.737          10.5218           6.0           
  8255-9102    1-277249    0.0368181   0.0368181   0.0369335   0.740707         25.6641           4.33356              0.64472         23.4641          4.29347           0.615633      
  8255-3704    1-277289    0.0372192   0.0372192   0.0373447   0.68055          34.8104           2.61139              0.48346         35.1593          2.58779           1.35681       
  8255-6101    1-256446    0.0584258   0.0584258   0.058514    0.839025         142.007           3.20764              0.755945        144.014          5.5465            5.56306       
  8449-9102    1-488620    0.0212186   0.0212186   0.021011    0.772666         51.4933           7.61648              0.707555        53.6656          8.08575           1.02054       
  8449-12701   1-488469    0.0223161   0.0223161   0.0220368   0.675284         8.75              8.55003              0.574856        9.01276          9.84575           1.23622       
  8449-12705   1-613769    0.0323767   0.0323767   0.0320976   0.348455         136.258           16.1612              0.235119        136.905          37.6217           6.0           
  8449-3703    1-488712    0.0420595   0.0420595   0.0418019   0.756579         18.0191           2.75193              0.648015        19.0892          2.52166           1.91887       
  8449-12704   1-574686    0.0207039   0.0207039   0.0205449   0.494881         81.6093           12.731               0.419801        80.7661          14.5361           1.43899       
  8449-12702   1-488790    0.0207018   0.0207018   0.0205418   0.571559         88.7794           13.2713              0.479873        88.667           17.9787           1.95339       
  8449-1902    1-488575    0.0223741   0.0223741   0.0221022   0.518654         114.611           2.58795              0.284366        113.26           2.75755           2.21041       
  8449-6103    1-613211    0.0322596   0.0322596   0.03199     0.814284         15.5565           5.6616               0.716239        21.5295          7.0861            3.0858        
  8449-9101    1-488706    0.0223154   0.0223154   0.0220537   0.863459         96.4471           8.20691              0.81711         94.4025          7.99574           1.37556       
  8449-3701    1-488526    0.0316182   0.0316182   0.0313313   0.729971         59.1739           4.75521              0.564141        58.1113          7.53158           6.0           
  8449-6102    1-487329    0.0233431   0.0233431   0.0230788   0.499103         90.4731           6.77167              0.418595        89.5812          7.0357            0.948413      
  8449-3702    1-489766    0.0259538   0.0259538   0.0256777   0.952531         79.8006           4.67156              0.940099        44.5874          10.4714           6.0           
  8449-6104    1-488783    0.0229141   0.0229141   0.0226482   0.350738         85.8253           5.72014              0.19267         86.8818          6.17653           1.29267       
  8449-6101    1-488700    0.0211796   0.0211796   0.0209906   0.501253         92.991            5.59875              0.369843        91.2059          6.21146           1.60448       
  8449-3704    1-574775    0.0261779   0.0261779   0.0259033   0.781295         146.031           4.05386              0.961132        17.8887          3.75856           6.0           
  8449-12703   1-613340    0.0212163   0.0212163   0.0210206   0.214671         46.1451           19.6614              0.163193        46.044           21.8989           0.914264      
  8449-1901    1-488532    0.0322203   0.0322203   0.0319292   0.863959         120.712           2.44401              0.835552        115.136          3.85036           5.50724       
  8338-1902    1-588894    0.0354279   0.0354279   0.0351773   0.569438         37.6323           3.68617              0.338699        36.888           7.28615           5.29509       
  8338-9102    1-489884    0.0491866   0.0491866   0.0489129   0.786998         4.47519           1.80134              0.578514        5.72357          1.5452            3.72942       
  8338-1901    1-491441    0.0214836   0.0214836   0.0212875   0.755883         100.408           3.18958              0.575883        101.41           3.57988           4.35696       
  8338-6104    1-492617    0.0224455   0.0224455   0.022176    0.702937         149.688           3.03575              0.505662        151.087          2.92421           1.24367       
  8338-3702    1-491140    0.0192906   0.0192906   0.0194367   0.857087         88.9316           5.03073              0.712923        90.0775          4.58526           1.00579       
  8338-3701    1-491200    0.0321216   0.0321216   0.0318571   0.898778         137.585           4.45903              0.789753        132.323          6.34253           6.0           
  8338-12704   1-491218    0.0220144   0.0220144   0.0217404   0.875527         15.3932           11.378               0.805028        7.81665          12.7538           1.52267       
  8338-6101    1-574691    0.0308685   0.0308685   0.0305997   0.55675          126.071           5.77609              0.442415        125.49           6.77499           2.02271       
  8338-12705   1-491045    0.133262    0.133262    0.132972    0.804141         41.4358           5.0606               0.725545        43.3987          12.3955           6.0           
  8338-6102    1-491225    0.0223574   0.0223574   0.0220833   0.815795         64.0384           5.87727              0.785502        71.0975          5.6589            0.616686      
  8338-12703   1-489927    0.0240213   0.0240213   0.0237645   0.644563         65.1227           9.93696              0.494594        65.4202          10.9077           1.31855       
  8338-12702   1-492564    0.0381035   0.0381035   0.0378267   0.219788         146.321           7.96401              0.15            145.905          8.11666           0.615898      
  8338-6103    1-489932    0.0332897   0.0332897   0.0330343   0.253383         44.2898           6.73325              0.155457        44.2671          7.51025           0.858295      
  8338-9101    1-491095    0.0218217   0.0218217   0.0215301   0.52702          151.701           6.98589              0.438097        150.391          7.50912           0.92331       
  8338-12701   1-614850    0.0210523   0.0210523   0.020873    0.725511         118.635           15.0082              0.579208        118.77           18.0948           1.41727       
  8338-3703    1-492536    0.0310429   0.0310429   0.030781    0.700594         113.126           4.90125              0.462814        108.8            7.88831           5.29333       
  8338-3704    1-491233    0.0331586   0.0331586   0.0328952   0.479945         123.913           4.1933               0.348555        123.245          4.5964            1.26442       
  8454-9101    1-167403    0.137721    0.137721    0.137854    0.833945         69.6956           4.83083              0.822568        55.5239          10.8648           6.0           
  8454-12701   1-254520    0.0445971   0.0445971   0.0447085   0.884315         142.152           4.98331              0.883031        137.715          5.1843            1.34574       
  8454-9102    1-167627    0.0250192   0.0250192   0.0251613   0.471086         13.0453           7.72891              0.15            14.3047          13.8466           5.19416       
  8454-6101    1-221753    0.0698794   0.0698794   0.0699885   0.954703         123.745           4.81313              0.959482        134.886          5.63116           1.91607       
  8454-3703    1-167423    0.0898193   0.0898193   0.0899577   0.898626         152.349           2.51048              0.840476        152.971          4.48463           6.0           
  8454-3704    1-254560    0.0392023   0.0392023   0.03931     0.682456         176.256           3.99527              0.67016         3.39972          54.9587           6.0           
  8454-12705   1-586585    0.0234362   0.0234362   0.0235506   0.968421         88.7474           9.33095              0.982455        133.368          16.4553           6.0           
  8454-3701    1-254546    0.0586496   0.0586496   0.058763    0.902616         173.013           4.66419              0.864919        177.465          6.39867           3.97762       
  8454-1901    1-254552    0.0234382   0.0234382   0.0235512   0.916008         103.308           3.1767               0.872807        92.8402          3.57393           2.88915       
  8454-6104    1-167488    0.0634825   0.0634825   0.0636219   0.830784         6.87946           5.56742              0.781571        10.271           6.02061           1.52372       
  8454-1902    1-254532    0.14498     0.14498     0.145088    0.804841         122.156           3.77024              0.652269        127.119          126.006           6.0           
  8454-12704   1-167519    0.112397    0.112397    0.112517    0.676173         3.19467           4.29583              0.536756        8.88525          2.71557           6.0           
  8454-3702    1-167392    0.0378924   0.0378924   0.0380355   0.64554          167.718           3.00302              0.489919        169.394          3.11925           1.47137       
  8454-12703   1-608252    0.0307213   0.0307213   0.030872    0.857109         4.91393           9.79768              0.796432        5.52863          9.97376           0.771326      
  8454-6103    1-167356    0.102771    0.102771    0.102914    0.849844         126.996           7.23177              0.712836        76.2274          6.84448           6.0           
  8454-6102    1-221789    0.113595    0.113595    0.113707    0.653269         113.629           6.24517              0.838785        99.3299          6.19065           6.0           
  8454-12702   1-167242    0.0764318   0.0764318   0.0765615   0.715778         79.579            4.48584              0.58987         86.4784          6.7287            4.0183        
  8262-12703   1-258589    0.040539    0.040539    0.0406945   0.942457         164.117           6.60483              0.949491        164.986          7.043             1.64744       
  8262-3703    1-258667    0.0674393   0.0674393   0.0675742   0.830208         82.0506           3.12454              0.803346        68.5592          3.50781           3.21126       
  8262-12702   1-258671    0.0386184   0.0386184   0.0387572   0.425856         111.169           5.37053              0.15            110.927          6.74235           1.98232       
  8262-9101    1-258213    0.0382552   0.0382552   0.0383954   0.786571         161.602           6.82393              0.712812        161.645          15.1072           4.98133       
  8262-6102    1-282527    0.0480502   0.0480502   0.048182    0.781522         22.1704           3.64091              0.623303        26.4762          5.85388           6.0           
  8262-9102    1-589908    0.0245271   0.0245271   0.0246634   0.778919         112.363           7.34279              0.812096        118.692          8.26789           2.82648       
  8262-12701   1-282509    0.0237878   0.0237878   0.0239087   0.225812         59.2484           10.5518              0.15            59.2199          11.8891           1.16539       
  8262-6103    1-282043    0.0239903   0.0239903   0.0241175   0.566354         24.0231           5.33817              0.397605        24.6488          6.91739           2.84207       
  8262-6101    1-282020    0.0239188   0.0239188   0.0240445   0.645002         16.7429           6.21396              0.54551         20.578           5.3908            1.52575       
  8262-1902    1-282035    0.0379261   0.0379261   0.0380435   0.624807         143.614           2.13683              0.172595        142.062          1.54016           5.88262       
  8262-3702    1-258249    0.0242308   0.0242308   0.0243535   0.80478          146.513           4.84425              0.73658         148.316          7.94858           5.36026       
  8262-6104    1-258653    0.0383413   0.0383413   0.0384885   0.720784         124.77            6.01499              0.620135        121.685          12.3986           6.0           
  8262-1901    1-258311    0.023141    0.023141    0.0232772   0.830571         56.5428           2.36076              0.737531        53.3656          2.25872           1.59066       
  8262-12705   1-258631    0.0747263   0.0747263   0.0748649   0.374312         40.324            8.24453              0.227773        39.3022          11.2945           2.60053       
  8262-3704    1-282021    0.0241249   0.0241249   0.0242535   0.448676         0.760818          4.39043              0.275662        0.902527         4.64331           0.983276      
  8262-3701    1-258306    0.0241132   0.0241132   0.0242356   0.460173         138.831           4.94373              0.359692        140.471          5.84493           2.20509       
  8262-12704   1-258726    0.0484877   0.0484877   0.0486456   0.544527         52.451            8.05497              0.4513          52.9316          8.67407           0.844689      
  8450-1902    1-491220    0.0335024   0.0335024   0.0332186   0.652929         18.6954           2.73387              0.15            19.1597          2.24409           3.39373       
  8450-3704    1-491063    0.0493754   0.0493754   0.0490865   0.701179         170.892           2.52648              0.306747        175.089          2.108             6.0           
  8450-3701    1-489644    0.13552     0.13552     0.135226    0.861322         152.037           4.39564              0.737136        165.42           6.12              6.0           
  8450-12704   1-491075    0.0455893   0.0455893   0.0453013   0.853217         108.158           8.40684              0.811181        107.203          12.365            4.3877        
  8450-3703    1-489814    0.035089    0.035089    0.0348136   0.902026         91.5228           5.26243              0.905627        83.0663          5.02836           1.3841        
  8450-3702    1-490074    0.0608899   0.0608899   0.0606284   0.666739         172.634           2.70095              0.44962         173.186          4.08382           5.87256       
  8450-9101    1-490045    0.0277556   0.0277556   0.0275012   0.795181         110.587           7.33633              0.736209        109.259          7.41402           0.655106      
  8450-12702   1-491193    0.0404999   0.0404999   0.0402187   0.90815          159.988           8.72131              0.89049         157.026          9.44468           1.34569       
  8450-12701   1-489846    0.0431416   0.0431416   0.0428627   0.627297         49.8652           5.0164               0.514311        49.3006          5.08114           1.06296       
  8450-9102    1-491058    0.0493003   0.0493003   0.0490069   0.665231         177.495           4.52428              0.525263        177.579          4.94757           1.85329       
  8450-12705   1-489642    0.0428267   0.0428267   0.0425291   0.67563          109.098           9.21229              0.602636        106.149          15.2584           4.47419       
  8450-6104    1-491229    0.0392908   0.0392908   0.0390141   0.9744           117.941           6.3921               0.956288        98.4835          10.0926           4.82645       
  8450-1901    1-489877    0.0237681   0.0237681   0.0234982   0.69791          9.12234           2.35262              0.501906        12.7141          1.54217           1.86113       
  8450-12703   1-492524    0.0456847   0.0456847   0.0453976   0.407498         118.667           6.91794              0.287628        120.466          8.01807           1.62826       
  8450-6103    1-489649    0.0406226   0.0406226   0.0403306   0.586969         9.47485           6.79888              0.499992        10.5736          8.32073           2.50004       
  8450-6101    1-491047    0.0207675   0.0207675   0.0206142   0.790204         155.466           5.82863              0.747087        154.612          10.3709           4.95801       
  8450-6102    1-489648    0.0417713   0.0417713   0.0414748   0.807732         128.96            5.75296              0.762066        127.297          5.8208            0.99349       
  8716-3704    1-352081    0.0397008   0.0397008   0.0400467   0.314246         68.9428           4.85115              0.150317        68.4941          5.4382            0.740025      
  8716-3703    1-548341    0.070729    0.070729    0.0710748   0.937247         49.4424           2.97152              0.862002        51.6622          5.12394           5.73637       
  8716-1901    1-379199    0.0191814   0.0191814   0.0196959   0.693611         132.788           3.61865              0.503622        132.853          8.46758           6.0           
  8716-3702    46-183      0.1032      -9999.0     -9999.0     -9999.0          -9999.0           -9999.0              -9999.0         -9999.0          -9999.0           -9999.0       
  8716-9102    1-352103    0.0187379   0.0187379   0.0192834   0.765932         123.355           7.57846              0.717314        121.465          8.08722           1.18077       
  8716-6103    1-379380    0.0711722   0.0711722   0.0715449   0.600484         103.565           6.76022              0.5021          102.061          10.4348           3.93576       
  8716-9101    1-379214    0.0229356   0.0229356   0.0232992   0.778196         145.468           7.27528              0.635756        146.715          11.5256           3.72401       
  8716-1902    1-351869    0.0548468   0.0548468   0.0551896   0.803205         62.8857           2.03226              0.524737        54.8983          4.40177           5.21567       
  8716-6101    1-351911    0.0419851   0.0419851   0.0423222   0.749659         174.944           3.27045              0.684603        177.367          3.14513           1.09598       
  8716-12702   1-352130    0.0189349   0.0189349   0.019467    0.764624         50.2624           8.02326              0.748734        43.5385          6.74298           1.37651       
  8716-6102    1-548180    0.02364     0.02364     0.0240016   0.321342         43.2646           6.1944               0.219195        42.6826          6.66739           0.733153      
  8716-12705   1-352114    0.0402719   0.0402719   0.0406191   0.828401         42.9591           7.82281              0.76277         47.105           8.52677           1.37666       
  8716-12701   1-379196    0.0189968   0.0189968   0.0195175   0.814643         58.9908           7.45315              0.626346        66.3161          7.73795           1.4991        
  8716-12704   1-352245    0.0417995   0.0417995   0.0421582   0.351861         54.9958           5.7221               0.217153        54.1546          6.35011           1.10559       
  8716-12703   1-379571    0.0421016   0.0421016   0.0424794   0.825201         34.0146           5.33959              0.760626        33.6147          5.95664           1.34797       
  8716-3701    1-605012    0.0641829   0.0641829   0.0645433   0.893359         101.369           5.14334              0.887838        96.3669          5.17326           1.35598       
  8716-6104    1-379490    0.0412819   0.0412819   0.0416502   0.849756         15.7992           7.22871              0.799921        14.7233          11.4068           5.54206       
  8717-9102    1-121598    0.0714115   0.0714115   0.0714961   0.869473         130.711           8.24715              0.861998        126.198          16.5798           6.0           
  8717-12704   1-604883    0.020234    0.020234    0.020483    0.242343         10.4677           13.2498              0.159134        11.6505          14.4822           0.782967      
  8717-6102    1-121717    0.109778    0.109778    0.109879    0.596335         135.956           6.52442              0.476004        135.045          14.4237           5.42445       
  8717-9101    1-71525     0.0457385   0.0457385   0.0458524   0.777384         117.619           7.46385              0.70282         116.43           8.664             1.72101       
  8717-12705   1-584687    0.0138863   0.0138863   0.0151175   0.18678          166.044           12.057               0.15            165.956          13.0592           0.714925      
  8717-3704    1-121486    0.0290077   0.0290077   0.0290982   0.778953         47.5559           5.81742              0.68663         46.7457          6.98031           2.83419       
  8717-12702   1-121747    0.130424    0.130424    0.130524    0.709119         43.6413           8.63355              0.642763        44.9637          13.6176           6.0           
  8717-1902    1-121532    0.139965    0.139965    0.140049    0.683166         62.9278           4.23707              0.572417        63.7716          5.50614           2.47971       
  8717-3703    1-121735    0.0457813   0.0457813   0.0458842   0.934056         100.058           2.76035              0.890316        104.635          2.79859           1.75507       
  8717-6101    1-121697    0.0456332   0.0456332   0.0457294   0.523431         162.449           3.93459              0.391117        162.709          4.4416            1.71699       
  8717-3702    1-71488     0.0634725   0.0634725   0.063594    0.985312         158.509           6.18329              0.964224        134.092          11.0284           6.0           
  8717-12703   1-121773    0.019982    0.019982    0.0202476   0.483534         170.487           12.1638              0.486971        169.047          11.692            0.771303      
  8717-3701    1-584637    0.0284197   0.0284197   0.0285091   0.957369         61.2587           4.0419               0.873483        54.9429          7.79465           6.0           
  8717-12701   1-604835    0.0285111   0.0285111   0.028634    0.240041         179.232           12.5335              0.159467        178.76           14.4302           0.864695      
  8717-6104    1-548622    0.132961    0.132961    0.133064    0.83917          101.106           6.25593              0.789238        102.835          12.2432           6.0           
  8717-6103    1-121737    0.113369    0.113369    0.113478    0.724263         94.9861           3.65197              0.655196        92.8443          5.86078           3.9879        
  8717-1901    1-71481     0.131157    0.131157    0.131255    0.746388         37.8744           6.9822               0.695681        51.5942          17.6346           6.0           
  8239-12701   1-378360    0.127488    0.127488    0.127799    0.737255         46.9984           5.4651               0.662645        47.7818          10.264            5.3745        
  8239-9102    1-351575    0.0225772   0.0225772   0.0228878   0.58972          5.25891           7.38442              0.525821        6.01172          8.08838           0.977039      
  8239-3701    1-378526    0.0180767   0.0180767   0.0186595   0.821973         48.3737           4.91434              0.649014        50.2299          21.1845           6.0           
  8239-12702   1-378479    0.081728    0.081728    0.0820494   0.401657         130.584           6.38534              0.316242        130.159          8.66242           2.66548       
  8239-12703   1-378400    0.0180264   0.0180264   0.0186096   0.782216         95.936            11.7142              0.802683        90.1384          17.2885           1.35715       
  8239-9101    1-339192    0.0278348   0.0278348   0.0281255   0.66008          147.668           8.16809              0.576762        147.044          8.89001           0.914949      
  8239-12704   1-378403    0.0180813   0.0180813   0.0186605   0.664171         114.654           12.0165              0.626353        113.063          14.087            1.28261       
  8239-3703    1-378428    0.0327643   0.0327643   0.0330846   0.912906         175.455           4.97016              0.881143        1.06531          7.76389           4.67393       
  8239-12705   1-548080    0.0513668   0.0513668   0.0516697   0.852219         92.6647           5.54693              0.795841        91.0252          20.3778           4.0365        
  8239-1901    1-378549    0.021357    0.021357    0.0216695   0.56649          11.3881           2.67811              0.441953        8.98239          2.73093           1.26505       
  8239-1902    1-378375    0.0213276   0.0213276   0.0216333   0.211652         36.2049           13.2339              0.15            36.3818          15.0975           0.755985      
  8239-6102    1-351563    0.0419966   0.0419966   0.042306    0.260521         71.7017           6.62907              0.163167        71.5719          7.59487           0.958252      
